sample_id,speaker,utt_id,target_word,condition,band,operation,target_loss,raw_prediction,mapped_prediction,mapped_correct,raw_exact,target_rank,target_distance,linf
F03||5||beta,F03,5,beta,retain_0-0.5k,0-0.5k,retain,4.7109375,peter,peer,0,0,5,3,0.0001301561715081334
F03||5||beta,F03,5,beta,remove_0-0.5k,0-0.5k,remove,3.041015625,beta,beta,1,1,1,0,0.00020000338554382324
F03||5||beta,F03,5,beta,retain_0.5-2k,0.5-2k,retain,4.5390625,peter,peer,0,0,5,3,0.00020000338554382324
F03||5||beta,F03,5,beta,remove_0.5-2k,0.5-2k,remove,3.1328125,beta,beta,1,1,1,0,0.00020000338554382324
F03||5||beta,F03,5,beta,retain_2-4k,2-4k,retain,4.26953125,beta,beta,1,1,1,0,0.00020000338554382324
F03||5||beta,F03,5,beta,remove_2-4k,2-4k,remove,3.193359375,beta,beta,1,1,1,0,0.00020000338554382324
F03||5||beta,F03,5,beta,retain_4-8k,4-8k,retain,3.50390625,beta,beta,1,1,1,0,0.00020000338554382324
F03||5||beta,F03,5,beta,remove_4-8k,4-8k,remove,3.8125,beta,beta,1,1,1,0,0.00020000338554382324
F03||7||stubble,F03,7,stubble,retain_0-0.5k,0-0.5k,retain,3.92578125,stepper,steer,0,0,64,5,0.00012103741755709052
F03||7||stubble,F03,7,stubble,remove_0-0.5k,0-0.5k,remove,2.75390625,stubble,stubble,1,1,1,0,0.00020000338554382324
F03||7||stubble,F03,7,stubble,retain_0.5-2k,0.5-2k,retain,3.3984375,stepper,steer,0,0,64,5,0.0002000001259148121
F03||7||stubble,F03,7,stubble,remove_0.5-2k,0.5-2k,remove,2.837890625,stubble,stubble,1,1,1,0,0.00020000338554382324
F03||7||stubble,F03,7,stubble,retain_2-4k,2-4k,retain,3.0625,stubble,stubble,1,1,1,0,0.00020000338554382324
F03||7||stubble,F03,7,stubble,remove_2-4k,2-4k,remove,3.150390625,stubble,stubble,1,1,1,0,0.00020000338554382324
F03||7||stubble,F03,7,stubble,retain_4-8k,4-8k,retain,3.42578125,stepper,steer,0,0,64,5,0.00020000338554382324
F03||7||stubble,F03,7,stubble,remove_4-8k,4-8k,remove,2.85546875,stubble,stubble,1,1,1,0,0.00020000338554382324
F03||10||form,F03,10,form,retain_0-0.5k,0-0.5k,retain,5.921875,four,four,0,0,9,2,0.0001440192572772503
F03||10||form,F03,10,form,remove_0-0.5k,0-0.5k,remove,3.9609375,form,form,1,1,1,0,0.00020000338554382324
F03||10||form,F03,10,form,retain_0.5-2k,0.5-2k,retain,5.0234375,four,four,0,0,9,2,0.0002000001259148121
F03||10||form,F03,10,form,remove_0.5-2k,0.5-2k,remove,4.07421875,form,form,1,1,1,0,0.00020000338554382324
F03||10||form,F03,10,form,retain_2-4k,2-4k,retain,4.76171875,form,form,1,1,1,0,0.00020000338554382324
F03||10||form,F03,10,form,remove_2-4k,2-4k,remove,4.16015625,form,form,1,1,1,0,0.00020000338554382324
F03||10||form,F03,10,form,retain_4-8k,4-8k,retain,4.52734375,form,form,1,1,1,0,0.00020000338554382324
F03||10||form,F03,10,form,remove_4-8k,4-8k,remove,4.24609375,form,form,1,1,1,0,0.00020000338554382324
F03||22||for,F03,22,for,retain_0-0.5k,0-0.5k,retain,7.30859375,frogger,dagger,0,0,6,4,0.0001147387083619833
F03||22||for,F03,22,for,remove_0-0.5k,0-0.5k,remove,4.3828125,for,for,1,1,1,0,0.00020000338554382324
F03||22||for,F03,22,for,retain_0.5-2k,0.5-2k,retain,6.24609375,four,four,0,0,2,1,0.0002000001259148121
F03||22||for,F03,22,for,remove_0.5-2k,0.5-2k,remove,4.78125,for,for,1,1,1,0,0.00020000338554382324
F03||22||for,F03,22,for,retain_2-4k,2-4k,retain,5.8203125,four,four,0,0,2,1,0.00020000338554382324
F03||22||for,F03,22,for,remove_2-4k,2-4k,remove,4.87109375,for,for,1,1,1,0,0.00020000338554382324
F03||22||for,F03,22,for,retain_4-8k,4-8k,retain,5.6640625,for,for,1,1,1,0,0.00020000338554382324
F03||22||for,F03,22,for,remove_4-8k,4-8k,remove,5.1796875,four,four,0,0,2,1,0.00020000338554382324
F03||36||hair,F03,36,hair,retain_0-0.5k,0-0.5k,retain,5.23828125,here,here,0,0,57,3,0.00014799072232563049
F03||36||hair,F03,36,hair,remove_0-0.5k,0-0.5k,remove,4.26171875,hair,hair,1,1,1,0,0.00020000338554382324
F03||36||hair,F03,36,hair,retain_0.5-2k,0.5-2k,retain,4.8828125,here,here,0,0,57,3,0.00020000338554382324
F03||36||hair,F03,36,hair,remove_0.5-2k,0.5-2k,remove,4.27734375,hair,hair,1,1,1,0,0.00020000338554382324
F03||36||hair,F03,36,hair,retain_2-4k,2-4k,retain,4.54296875,hair,hair,1,1,1,0,0.00020000338554382324
F03||36||hair,F03,36,hair,remove_2-4k,2-4k,remove,4.25,hair,hair,1,1,1,0,0.00020000338554382324
F03||36||hair,F03,36,hair,retain_4-8k,4-8k,retain,4.3984375,hair,hair,1,1,1,0,0.00020000338554382324
F03||36||hair,F03,36,hair,remove_4-8k,4-8k,remove,4.50390625,hair,hair,1,1,1,0,0.00020000338554382324
F03||39||chair,F03,39,chair,retain_0-0.5k,0-0.5k,retain,5.51171875,cheer,cheer,0,0,2,2,0.00018082931637763977
F03||39||chair,F03,39,chair,remove_0-0.5k,0-0.5k,remove,4.04296875,chair,chair,1,1,1,0,0.00020000338554382324
F03||39||chair,F03,39,chair,retain_0.5-2k,0.5-2k,retain,5.16015625,cheer,cheer,0,0,2,2,0.00020000338554382324
F03||39||chair,F03,39,chair,remove_0.5-2k,0.5-2k,remove,4.12890625,chair,chair,1,1,1,0,0.00020000338554382324
F03||39||chair,F03,39,chair,retain_2-4k,2-4k,retain,4.8828125,cheer,cheer,0,0,2,2,0.00020000338554382324
F03||39||chair,F03,39,chair,remove_2-4k,2-4k,remove,4.23046875,chair,chair,1,1,1,0,0.00020000338554382324
F03||39||chair,F03,39,chair,retain_4-8k,4-8k,retain,4.7734375,cheer,cheer,0,0,2,2,0.00020000338554382324
F03||39||chair,F03,39,chair,remove_4-8k,4-8k,remove,4.41796875,chair,chair,1,1,1,0,0.00020000338554382324
F03||41||two,F03,41,two,retain_0-0.5k,0-0.5k,retain,6.60546875,true,take,0,0,69,3,0.0001494742464274168
F03||41||two,F03,41,two,remove_0-0.5k,0-0.5k,remove,5.12109375,two,two,1,1,1,0,0.00020000338554382324
F03||41||two,F03,41,two,retain_0.5-2k,0.5-2k,retain,5.79296875,true,take,0,0,69,3,0.00020000338554382324
F03||41||two,F03,41,two,remove_0.5-2k,0.5-2k,remove,5.19140625,two,two,1,1,1,0,0.00020000338554382324
F03||41||two,F03,41,two,retain_2-4k,2-4k,retain,5.33984375,two,two,1,1,1,0,0.00020000338554382324
F03||41||two,F03,41,two,remove_2-4k,2-4k,remove,5.35546875,two,two,1,1,1,0,0.00020000338554382324
F03||41||two,F03,41,two,retain_4-8k,4-8k,retain,5.69140625,true,take,0,0,69,3,0.00020000338554382324
F03||41||two,F03,41,two,remove_4-8k,4-8k,remove,5.1875,two,two,1,1,1,0,0.00020000338554382324
F03||47||bug,F03,47,bug,retain_0-0.5k,0-0.5k,retain,5.25390625,fuck,muck,0,0,8,3,0.0001223949366249144
F03||47||bug,F03,47,bug,remove_0-0.5k,0-0.5k,remove,3.220703125,bug,bug,1,1,1,0,0.00020000338554382324
F03||47||bug,F03,47,bug,retain_0.5-2k,0.5-2k,retain,4.609375,like,lake,0,0,110,4,0.0002000001259148121
F03||47||bug,F03,47,bug,remove_0.5-2k,0.5-2k,remove,3.3046875,bug,bug,1,1,1,0,0.00020000338554382324
F03||47||bug,F03,47,bug,retain_2-4k,2-4k,retain,3.96484375,bug,bug,1,1,1,0,0.00020000338554382324
F03||47||bug,F03,47,bug,remove_2-4k,2-4k,remove,3.451171875,bug,bug,1,1,1,0,0.00020000338554382324
F03||47||bug,F03,47,bug,retain_4-8k,4-8k,retain,3.810546875,bug,bug,1,1,1,0,0.00020000338554382324
F03||47||bug,F03,47,bug,remove_4-8k,4-8k,remove,3.615234375,bug,bug,1,1,1,0,0.00020000338554382324
F03||52||feed,F03,52,feed,retain_0-0.5k,0-0.5k,retain,5.92578125,,a,0,0,104,4,0.00015171291306614876
F03||52||feed,F03,52,feed,remove_0-0.5k,0-0.5k,remove,4.1796875,feed,feed,1,1,1,0,0.00020000338554382324
F03||52||feed,F03,52,feed,retain_0.5-2k,0.5-2k,retain,5.30078125,feed,feed,1,1,1,0,0.0002000001259148121
F03||52||feed,F03,52,feed,remove_0.5-2k,0.5-2k,remove,4.203125,feed,feed,1,1,1,0,0.00020000338554382324
F03||52||feed,F03,52,feed,retain_2-4k,2-4k,retain,4.67578125,feed,feed,1,1,1,0,0.00020000338554382324
F03||52||feed,F03,52,feed,remove_2-4k,2-4k,remove,4.47265625,feed,feed,1,1,1,0,0.00020000338554382324
F03||52||feed,F03,52,feed,retain_4-8k,4-8k,retain,4.57421875,feed,feed,1,1,1,0,0.00020000338554382324
F03||52||feed,F03,52,feed,remove_4-8k,4-8k,remove,4.59375,feed,feed,1,1,1,0,0.00020000338554382324
