sample_id,speaker,utt_id,target_word,condition,random_seed,target_ctc_loss,raw_prediction,mapped_prediction,mapped_correct,target_rank,perturbation_linf,perturbation_rms,snr_db,raw_exact
F03||test||100||no,F03,100,no,original,,52.44629287719727,lo,go,0,2,0.0,0.0,inf,False
F03||test||100||sew,F03,100,sew,original,,102.48133850097656,so,go,0,16,0.0,0.0,inf,False
F03||test||102||mike,F03,102,mike,original,,99.6169662475586,like,lake,0,2,0.0,0.0,inf,False
F03||test||103||city,F03,103,city,original,,122.07366180419922,furry,fair,0,21,0.0,0.0,inf,False
F03||test||104||beat,F03,104,beat,original,,96.68682098388672,b,a,0,22,0.0,0.0,inf,False
F03||test||104||rock,F03,104,rock,original,,99.00016784667967,ran,bran,0,120,0.0,0.0,inf,False
F03||test||100||no,F03,100,no,targeted,,50.09367370605469,lo,go,0,2,0.0002000033855438,0.0001172970095842,56.6784251485043,False
F03||test||100||sew,F03,100,sew,targeted,,76.64099884033203,self,sell,0,5,0.0002000033855438,0.0001154455455251,46.56053900839438,False
F03||test||102||mike,F03,102,mike,targeted,,91.21502685546876,i,a,0,64,0.0002000033855438,0.0001194613704204,52.59991772244865,False
F03||test||103||city,F03,103,city,targeted,,120.52291870117188,furry,fair,0,21,0.0002000033855438,0.0001231401643669,57.99654220430922,False
F03||test||104||beat,F03,104,beat,targeted,,102.9323272705078,b,a,0,22,0.0002000033855438,0.0001229835425577,44.96303856795704,False
F03||test||104||rock,F03,104,rock,targeted,,100.0879135131836,ract,race,0,21,0.0002000033855438,0.000114715219955,49.95504177232671,False
F03||test||100||no,F03,100,no,retain_0-0.5k,,52.412841796875,lo,go,0,2,8.250121027231216e-05,1.9020080739573506e-05,72.47991682877486,False
F03||test||100||sew,F03,100,sew,retain_0-0.5k,,102.31311798095705,so,go,0,16,0.0001240735873579,2.0116521408296e-05,61.73702493923331,False
F03||test||102||mike,F03,102,mike,retain_0-0.5k,,99.51615142822266,like,lake,0,2,7.759872823953629e-05,1.916597564749015e-05,68.49384893296887,False
F03||test||103||city,F03,103,city,retain_0-0.5k,,121.93498992919922,furry,fair,0,21,6.81951642036438e-05,1.817535623808353e-05,74.61487814705866,False
F03||test||104||beat,F03,104,beat,retain_0-0.5k,,96.72154998779295,b,a,0,22,7.606088183820248e-05,1.911077460546468e-05,61.13441273582518,False
F03||test||104||rock,F03,104,rock,retain_0-0.5k,,98.94383239746094,ran,bran,0,120,6.531272083520889e-05,1.808868000768116e-05,65.99932509429141,False
F03||test||100||no,F03,100,no,remove_0-0.5k,,50.11197280883789,lo,go,0,2,0.0002000033855438,0.0001131889503363,56.98808330244174,False
F03||test||100||sew,F03,100,sew,remove_0-0.5k,,76.25218963623047,self,sell,0,5,0.0002000033855438,0.0001112375585045,46.88305365038413,False
F03||test||102||mike,F03,102,mike,remove_0-0.5k,,91.13075256347656,i,a,0,64,0.0002000033855438,0.0001152315446201,52.91303990442885,False
F03||test||103||city,F03,103,city,remove_0-0.5k,,120.52497100830078,furry,fair,0,21,0.0002000033855438,0.0001191049453479,58.28594089996528,False
F03||test||104||beat,F03,104,beat,remove_0-0.5k,,103.22693634033205,b,a,0,22,0.0002000033855438,0.0001186858898981,45.27199673499269,False
F03||test||104||rock,F03,104,rock,remove_0-0.5k,,99.99723815917967,ract,race,0,21,0.0002000033855438,0.0001109843415888,50.24222841685824,False
F03||test||100||no,F03,100,no,retain_0.5-2k,,51.54351043701172,lo,go,0,2,0.0002000001259148,5.110158233702676e-05,63.89547699073522,False
F03||test||100||sew,F03,100,sew,retain_0.5-2k,,98.63191986083984,so,go,0,16,0.0002000001259148,4.781213885553686e-05,54.21731917207647,False
F03||test||102||mike,F03,102,mike,retain_0.5-2k,,96.86388397216795,like,lake,0,2,0.0002000033855438,5.134074858298208e-05,59.93522363902714,False
F03||test||103||city,F03,103,city,retain_0.5-2k,,122.52618408203124,furry,fair,0,21,0.0002000001259148,5.2627420998505456e-05,65.38029502368876,False
F03||test||104||beat,F03,104,beat,retain_0.5-2k,,94.12507629394533,b,a,0,22,0.0002000001259148,5.146931579336634e-05,52.52901064395235,False
F03||test||104||rock,F03,104,rock,retain_0.5-2k,,98.95890045166016,rac,race,0,29,0.0001901746727526,3.636074189617318e-05,59.93480789810136,False
F03||test||100||no,F03,100,no,remove_0.5-2k,,50.268348693847656,lo,go,0,2,0.0002000033855438,0.0001024039197878,57.85783233702546,False
F03||test||100||sew,F03,100,sew,remove_0.5-2k,,76.5340347290039,self,sell,0,5,0.0002000033855438,0.0001020484528898,47.63195411501542,False
F03||test||102||mike,F03,102,mike,remove_0.5-2k,,90.20182037353516,i,a,0,64,0.0002000033855438,0.0001042731098828,53.78102104670465,False
F03||test||103||city,F03,103,city,remove_0.5-2k,,120.11273956298828,furry,fair,0,21,0.0002000033855438,0.0001074911704947,59.17708094254187,False
F03||test||104||beat,F03,104,beat,remove_0.5-2k,,105.08985900878906,b,a,0,22,0.0002000033855438,0.000107891147881,46.10026227017009,False
F03||test||104||rock,F03,104,rock,remove_0.5-2k,,99.2794418334961,ract,race,0,21,0.0002000033855438,0.0001059066905439,50.64899467435335,False
F03||test||100||no,F03,100,no,retain_2-4k,,52.53741836547852,lo,go,0,2,0.0002000033855438,5.796885085656706e-05,62.80027012747613,False
F03||test||100||sew,F03,100,sew,retain_2-4k,,87.6565170288086,so,go,0,16,0.0002000001259148,6.445934631285052e-05,51.62236467452991,False
F03||test||102||mike,F03,102,mike,retain_2-4k,,94.20787811279295,like,lake,0,2,0.0002000033855438,5.936839506246728e-05,58.673361401427606,False
F03||test||103||city,F03,103,city,retain_2-4k,,122.0531005859375,furry,fair,0,21,0.0002000033855438,6.347768284927799e-05,63.75211548030058,False
F03||test||104||beat,F03,104,beat,retain_2-4k,,100.6871337890625,b,a,0,22,0.0002000033855438,6.538414728565745e-05,50.45052925972187,False
F03||test||104||rock,F03,104,rock,retain_2-4k,,99.27276611328124,rac,race,0,29,0.0002000001259148,5.2285700746171056e-05,56.77980395742701,False
F03||test||100||no,F03,100,no,remove_2-4k,,50.0511360168457,lo,go,0,2,0.0002000033855438,9.898799856874944e-05,58.1525130847347,False
F03||test||100||sew,F03,100,sew,remove_2-4k,,76.10307312011719,so,go,0,16,0.0002000033855438,9.346535576314191e-05,48.395069346306045,False
F03||test||102||mike,F03,102,mike,remove_2-4k,,89.08370971679688,i,a,0,64,0.0002000033855438,0.0001002496170268,54.12281312871662,False
F03||test||103||city,F03,103,city,remove_2-4k,,119.4991226196289,furry,fair,0,21,0.0002000033855438,0.0001017698812375,59.65215142913642,False
F03||test||104||beat,F03,104,beat,remove_2-4k,,104.2111358642578,b,a,0,22,0.0002000033855438,0.0001011054446313,46.66448767553432,False
F03||test||104||rock,F03,104,rock,remove_2-4k,,99.77218627929688,ract,race,0,21,0.0002000033855438,9.949843788316166e-05,51.19113736752092,False
F03||test||100||no,F03,100,no,retain_4-8k,,50.44809722900391,lo,go,0,2,0.0002000033855438,8.51711611252716e-05,59.45831259306882,False
F03||test||100||sew,F03,100,sew,retain_4-8k,,75.83744812011719,so,go,0,16,0.0002000033855438,7.958041984722297e-05,49.79195809323291,False
F03||test||102||mike,F03,102,mike,retain_4-8k,,89.84260559082031,lik,lick,0,14,0.0002000033855438,8.630236719889701e-05,55.42401340885627,False
F03||test||103||city,F03,103,city,retain_4-8k,,119.38414764404295,furry,fair,0,21,0.0002000033855438,8.796413836561215e-05,60.91842372309026,False
F03||test||104||beat,F03,104,beat,retain_4-8k,,102.40306091308594,b,a,0,22,0.0002000033855438,8.720237179697756e-05,47.94941259661893,False
F03||test||104||rock,F03,104,rock,retain_4-8k,,100.38509368896484,ract,race,0,21,0.0002000033855438,9.20542688002862e-05,51.866583961941885,False
F03||test||100||no,F03,100,no,remove_4-8k,,51.5001335144043,lo,go,0,2,0.0002000033855438,7.869628893799311e-05,60.14507889375093,False
F03||test||100||sew,F03,100,sew,remove_4-8k,,81.26956939697266,so,go,0,16,0.0002000001259148,8.181728940755197e-05,49.5511808682198,False
